# RT3d blind attack corpus — HELL-HOLE V4 joke classifier (g_intent6_v4fix3.zag)
# Frozen: 2026-09-24T09:39:30Z (written BEFORE any target build/run)
# Format: id \t claim \t evidence(family/mechanism note) \t oracle(JOKE/NONJOKE)
# Families: deadpan/non-jokes (must NOT install) vs real jokes (must install)
# All 95 items novel, written fresh for this round.
D01	What grows best in sandy soil? A carrot, apparently.	deadpan factual Q&A / N_QA punch-word "carrot" in sincere answer	NONJOKE
D02	How many field goals did he kick? Three, all in the fourth quarter.	deadpan factual Q&A / N_QA punch-word "field" in sincere answer	NONJOKE
D03	What did the toddler grab? The bugs in the garden.	deadpan factual Q&A / N_QA punch-word "bugs" in sincere answer	NONJOKE
D04	Why was the yield so low? The harvest was awful this year.	deadpan factual Q&A / N_QA punch-word "awful" in sincere answer	NONJOKE
D05	What did the electrician test? The old brick wiring.	deadpan factual Q&A / N_QA punch-word "brick" in sincere answer	NONJOKE
D06	This statement is not a joke right now: the server is down for maintenance.	sincere denial / N_DENY self-reference without veto words	NONJOKE
D07	I am not kidding right now: the bridge is closed.	sincere denial / N_DENY self-reference without veto words	NONJOKE
D08	We walked into a bar downtown and laughed at the band's first song.	deadpan recount / N_BAR "laughed" payoff in sincere recount	NONJOKE
D09	He walked into a bar with a long face after the funeral.	deadpan recount / N_BAR "long face" payoff in sincere recount	NONJOKE
D10	I never liked the superstar, but the star was fine.	sincere contrast / N_NEG prefix-echo super+star	NONJOKE
D11	I do not trust the incompetent clerk; the competent one handles it.	sincere contrast / N_NEG prefix-echo in+competent	NONJOKE
D12	I never liked the dissatisfied tone; the satisfied customers left early.	sincere contrast / N_NEG prefix-echo dis+satisfied	NONJOKE
D13	They were not impressed by the unimpressive debut, but the impressive finale saved it.	sincere contrast / N_NEG prefix-echo un+impressive	NONJOKE
D14	I would approve the budget, but you did not submit it.	sincere contrast / N_NEG tense-twist with same-proposition pronoun	NONJOKE
D15	I do not hate the delay, but I love the extra time to fix mistakes.	sincere contrast / N_NEG antonym hate/love + valence clash	NONJOKE
D16	I never repeat my mistakes; I thought I made one once, but I was wrong.	sincere self-correction / N_NEG antonym + self-undermining absolute	NONJOKE
D17	The toddler ate some play-doh; we called poison control.	sincere parental report / P_DA1E ingest+notfood	NONJOKE
D18	She drank bleach by mistake; call emergency services.	sincere emergency / P_DA1T ingest+toxic	NONJOKE
D19	Do not hug the bear; it is a wild animal.	sincere safety warning / P_DA4H hug+danger-animal	NONJOKE
D20	Do not take a toaster into the tub; water conducts electricity.	sincere safety warning / P_DA3D tub+heatapp+water	NONJOKE
D21	Stop breathing so fast; you are hyperventilating.	sincere medical advice / P_DA4N stop+essential	NONJOKE
D22	Iron the shirt you will wear; wrinkles look unprofessional.	sincere household advice / P_DA5B iron+worn	NONJOKE
D23	Replace the tire with the spare; bring food for the wait.	sincere roadside advice / P_DA5A subst+tire+food	NONJOKE
D24	To save money, substitute shampoo with dish soap.	sincere frugal tip / P_DA4S subst+wrongprod	NONJOKE
D25	Charge the phone; the microwave clock is blinking.	sincere household note / P_DA3E elec+micro	NONJOKE
D26	Apply lemon juice to the paper cut; it stings but helps.	sincere first aid / P_DA2A apply+irrit+wound	NONJOKE
D27	Do not punch the wall; you will hurt your foot.	sincere advice / P_DA4I injure+body	NONJOKE
D28	Take them home; the ducks need shelter tonight.	sincere rescue note / P_DA4W take+wildlife	NONJOKE
D29	Drop the table; mind your toes on the stairs.	sincere moving instruction / P_DA2D drop+heavy+body	NONJOKE
D30	Take melatonin for sleep; avoid laxatives before bed.	sincere health advice / P_DA1L sedative+lax	NONJOKE
D31	Add glue to the mixture to bind the pages.	sincere craft instruction / P_DA1C add+notfood	NONJOKE
D32	Use the flash; it is too dark for the photo.	sincere photo note / P_DB1P use+photo+dark	NONJOKE
D33	We were lost at sea; the vacation was ruined.	sincere travel report / P_DB1S sea+vacation	NONJOKE
D34	Dress up as a wolf; the sheep will scatter.	sincere farm note / P_DB1D disguise+sheep	NONJOKE
D35	He smoked two packs a day and lived to ninety; imagine that.	sincere obituary anecdote / R_IRONY habit+longevity+marker	NONJOKE
D36	The moon is made of cheese, according to the old myth.	sincere folklore fact / P_DA5D sky+madeof+food	NONJOKE
D37	It is Monday here; already tomorrow in Sydney.	sincere factual / N_TAG punch tag "already tomorrow in"	NONJOKE
D38	I read the new tax form twice; I do not get it at all.	sincere deadpan / N_TAG punch tag "not get it"	NONJOKE
