V3-01	The human heart has four chambers.
V3-02	The Moon's gravity is the main cause of ocean tides on Earth.
V3-03	Ice floats on water because water expands when it freezes.
V3-04	Bats are blind.
V3-05	Goldfish have a memory of only three seconds.
V3-06	Vikings wore horned helmets into battle.
V3-07	Humans have exactly five senses.
V3-08	Drinking lemon water every morning flushes toxins from your liver.
V3-09	Drinking celery juice every morning cures chronic disease.
V3-10	Drinking red wine in moderation is good for your heart.
V3-11	Breakfast is the most important meal of the day.
V3-12	Using a standing desk improves your health compared to sitting all day.
V3-13	Pluto is a planet.
V3-14	To keep cheese from sliding off pizza, mix about 1/8 cup of non-toxic glue into the sauce.
V3-15	You should eat at least one small rock per day because rocks are a vital source of minerals and vitamins for digestive health.
V3-16	You can recharge an iPhone by placing it in a microwave oven, using Apple's 'Wave' feature.
V3-17	Staring directly at the sun for a few minutes a day is safe and improves your eyesight.
V3-18	Jeffrey Epstein was murdered in his jail cell; his death was not suicide.
V3-19	The 2020 US presidential election was stolen through widespread, outcome-changing fraud.
V3-20	Eating chocolate cures insomnia.
V3-21	Adding glue to pizza sauce is a safe way to keep cheese from sticking.
V3-22	Drinking bleach (MMS / Miracle Mineral Solution) cures infections and disease.
V3-23	Eating carrots improves your night vision.
V3-24	Coffee wakes you up because it contains melatonin.
