P1	The cheetah is faster than the lion.	Comparative case 1	The cheetah is slower than the lion.
P2	The cheetah is faster than the lion.	Comparative case 2	The cheetah is faster than the lion.
P3	The whale is bigger than the shark.	Comparative case 3	The whale is smaller than the shark.
P4	The mountain is taller than the hill.	Comparative case 4	The mountain is shorter than the hill.
P5	Steel is hotter than copper.	Comparative case 5	Steel is colder than copper.
P6	Mary is older than John.	Comparative case 6	Mary is younger than John.
P7	The lion is slower than the cheetah.	Comparative case 7	The lion is faster than the cheetah.
P8	The cheetah is faster than the lion.	Comparative case 8	The lion is faster than the cheetah.
P9	The box has more apples than the bag.	Comparative case 9	The box has fewer apples than the bag.
P10	The box has more apples than the bag.	Comparative case 10	The bag has more apples than the box.
