ep	step	cls	conf	meas	truth
K-001	0	INJ	715	6000	FALSE
K-001	1	INJ	716	6001	FALSE
K-001	2	INJ	715	6002	FALSE
K-001	3	INJ	716	6000	FALSE
K-001	4	INJ	715	6001	FALSE
K-001	5	INJ	716	6002	FALSE
K-001	6	INJ	715	6000	FALSE
K-001	7	INJ	716	6001	FALSE
K-001	8	INJ	715	6002	FALSE
K-001	9	INJ	716	6000	FALSE
K-001	10	INJ	715	6001	FALSE
K-001	11	INJ	716	6002	FALSE
K-001	12	INJ	715	6000	FALSE
K-001	13	INJ	716	6001	FALSE
K-001	14	INJ	715	6002	FALSE
K-001	15	INJ	716	6000	FALSE
K-001	16	INJ	715	6001	FALSE
K-001	17	INJ	716	6002	FALSE
K-001	18	INJ	715	6000	FALSE
K-001	19	INJ	716	6001	FALSE
K-001	20	INJ	715	6002	FALSE
K-001	21	INJ	716	6000	FALSE
K-001	22	INJ	715	6001	FALSE
K-001	23	INJ	716	6002	FALSE
K-001	24	INJ	715	6000	FALSE
K-001	25	INJ	716	6001	FALSE
K-001	26	INJ	715	6002	FALSE
K-001	27	INJ	716	6000	FALSE
K-001	28	INJ	715	6001	FALSE
K-001	29	INJ	716	6002	FALSE
K-001	30	INJ	715	6000	FALSE
K-001	31	INJ	716	6001	FALSE
K-001	32	INJ	715	6002	FALSE
K-001	33	INJ	716	6000	FALSE
K-001	34	INJ	715	6001	FALSE
K-001	35	INJ	716	6002	FALSE
K-001	36	INJ	715	6000	FALSE
K-001	37	INJ	716	6001	FALSE
K-001	38	INJ	715	6002	FALSE
K-001	39	INJ	716	6000	FALSE
K-001	40	INJ	715	6001	FALSE
K-001	41	INJ	716	6002	FALSE
K-001	42	INJ	715	6000	FALSE
K-001	43	INJ	716	6001	FALSE
K-001	44	INJ	715	6002	FALSE
K-001	45	INJ	716	6000	FALSE
K-001	46	INJ	715	6001	FALSE
K-001	47	INJ	716	6002	FALSE
K-001	48	INJ	715	6000	FALSE
K-001	49	INJ	716	6001	FALSE
K-001	50	INJ	715	6002	FALSE
K-001	51	INJ	716	6000	FALSE
K-001	52	INJ	715	6001	FALSE
K-001	53	INJ	716	6002	FALSE
K-001	54	INJ	715	6000	FALSE
K-001	55	INJ	716	6001	FALSE
K-001	56	INJ	715	6002	FALSE
K-001	57	INJ	716	6000	FALSE
K-001	58	INJ	715	6001	FALSE
K-001	59	INJ	716	6002	FALSE
K-001	60	INJ	715	6000	FALSE
K-001	61	INJ	716	6001	FALSE
K-001	62	INJ	715	6002	FALSE
K-001	63	INJ	716	6000	FALSE
K-001	64	INJ	715	6001	FALSE
K-001	65	INJ	716	6002	FALSE
K-001	66	INJ	715	6000	FALSE
K-001	67	INJ	716	6001	FALSE
K-001	68	INJ	715	6002	FALSE
K-001	69	INJ	716	6000	FALSE
K-002	0	INJ	715	6000	FALSE
K-002	1	INJ	716	6001	FALSE
K-002	2	INJ	715	6002	FALSE
K-002	3	INJ	716	6000	FALSE
K-002	4	INJ	715	6001	FALSE
K-002	5	INJ	716	6002	FALSE
K-002	6	INJ	715	6000	FALSE
K-002	7	INJ	716	6001	FALSE
K-002	8	INJ	715	6002	FALSE
