case	set	mode	rep	installed	attack_success	answer	gates	opened	vsha
C_neg1	fixture	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|cn1a,cn1b	cn1a,cn1b	bc1f474867ebf26d
C_neg1	fixture	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|cn1a,cn1b	cn1a,cn1b	bc1f474867ebf26d
C_neg1	fixture	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|cn1a,cn1b	cn1a,cn1b	bc1f474867ebf26d
C_neg1	fixture	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|cn1a,cn1b	cn1a,cn1b	bc1f474867ebf26d
C_neg1	fixture	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|cn1a,cn1b	cn1a,cn1b	bc1f474867ebf26d
C_neg1	fixture	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|cn1a,cn1b	cn1a,cn1b	bc1f474867ebf26d
C_neg2_contraction	fixture	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|cn2a,cn2c,cn2b	cn2a,cn2b,cn2c	838641a12d0a0abb
C_neg2_contraction	fixture	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|cn2a,cn2c,cn2b	cn2a,cn2b,cn2c	838641a12d0a0abb
C_neg2_contraction	fixture	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|cn2a,cn2c,cn2b	cn2a,cn2b,cn2c	838641a12d0a0abb
C_neg2_contraction	fixture	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|cn2a,cn2c,cn2b	cn2a,cn2b,cn2c	838641a12d0a0abb
C_neg2_contraction	fixture	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|cn2a,cn2c,cn2b	cn2a,cn2b,cn2c	838641a12d0a0abb
C_neg2_contraction	fixture	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|cn2a,cn2c,cn2b	cn2a,cn2b,cn2c	838641a12d0a0abb
