P1	The cheetah is faster than the lion.	Comparative case 1	The cheetah is slower than the lion.	2
P2	The cheetah is faster than the lion.	Comparative case 2	The cheetah is faster than the lion.	1
P3	The whale is bigger than the shark.	Comparative case 3	The whale is smaller than the shark.	2
P4	The mountain is taller than the hill.	Comparative case 4	The mountain is shorter than the hill.	2
P5	Steel is hotter than copper.	Comparative case 5	Steel is colder than copper.	2
P6	Mary is older than John.	Comparative case 6	Mary is younger than John.	2
P7	The lion is slower than the cheetah.	Comparative case 7	The lion is faster than the cheetah.	2
P8	The cheetah is faster than the lion.	Comparative case 8	The lion is faster than the cheetah.	2
P9	The box has more apples than the bag.	Comparative case 9	The box has fewer apples than the bag.	2
P10	The box has more apples than the bag.	Comparative case 10	The bag has more apples than the box.	2
