P21	The Great Wall is visible from the Moon	Astronauts confirm the Great Wall is not visible from the Moon.	
P22	Bats can fly	Bats cannot fly.	
P23	The door is open	The door is shut.	
P24	The swan is white	The swan is black.	
P25	Dolphins are fish	Dolphins are not fish.	
P26	Spiders are insects	Spiders are not insects.	
P27	Water boils at 100 degrees	At altitude, water boils at 87 degrees.	
P28	The body has exactly 600 muscles	Anatomists count 650 muscles.	
P29	Mercury has no atmosphere at all	Mercury has a thin exosphere.	
P30	All swans are white	Some swans are black.	
P31	No student failed	All students passed.	
P32	Nobody survived	Three survived.	
