path	kind	tier	owner	size	status	verdict
wave2/longhorizon/variants/LH-2/toolchain/hello/sysprobe.zag	zag	P0	coordinator	89	done	review: stale pre-port probe — `_zag_linux_syscall` passes `znc check` but fails native codegen ("call to unknown function", playbook §5); needs `_zag_raw_syscall` port; no TNN decision logic
wave2/longhorizon/variants/LH-2/toolchain/r34v3/CLOSURE_20260917.md	md	P1	coordinator	1386	done	review: STALE — closure claims (R34V3_FAILURES,0; byte-exact replay) recorded 2026-09-17, before the 2026-09-20 LCG contamination discovery; R34 v3 runs tainted + quarantined per Micah's REMEDIATE ruling; do not cite as evidence
wave2/longhorizon/variants/LH-2/toolchain/r34v3/PREREGISTRATION.md	md	P0	coordinator	2115	done	review: historical prereg of the quarantined R34 v3 campaign — behavioral gates match the campaign code, but superseded by the 2026-09-20 contamination ruling (hidden LCG in learner decision path); provenance only
wave2/longhorizon/variants/LH-2/toolchain/r34v3/README.md	md	P1	coordinator	946	done	review: accurate engineering description of the quarantined lane; "deterministic RNG" wording is the pre-discovery framing of the now-ruled-contaminant LCG in the learner core
wave2/longhorizon/variants/LH-2/toolchain/r34v3/WORKLOG_20260916.md	md	P1	coordinator	2367	done	review: 2026-09-16 worklog predates contamination discovery — lists the ruled-contaminant "deterministic RNG" as a feature and the pre-freeze witness as engineering-only evidence; do not cite
wave2/longhorizon/variants/LH-2/toolchain/r34v3/r34_continuing_harness_v3.zag	zag	P0	coordinator	15775	done	flag: evaluator/world harness over the QUARANTINED learner core — self-labels parent digest "R34V3_QUARANTINED_PARENT_V1"; type-checks OK, no ZNC-007/012 patterns; `main` gates on `_zag_argc()==1` which ZNC-007 says never holds (runtime passes argc=0) — likely dead entry
wave2/longhorizon/variants/LH-2/toolchain/r34v3/r34_learner_core.zag	zag	P0	coordinator	7776	done	flag: THE QUARANTINED CORE — `r34v3_rng` LCG ((rng*997+7919)%1000003) drives 1-in-5 pseudo-random explore flips in `r34v3_choose`: hidden randomness in the AI decision path; matches 2026-09-20 contamination ruling; R34 v3 quarantined permanently; otherwise clean (znc check OK)
wave2/longhorizon/variants/LH-2/toolchain/r34v3/r34_lh_harness.zag	zag	P0	coordinator	12216	done	flag: tainted LH-2 long-horizon harness — trains with explore=1, engaging the core's ruled-contaminant LCG; harness-side LCG `lh_drift_next` present but unreachable (LH_DRIFT_SEED=0); `main` gates on `_zag_argc()==1` (ZNC-007: dead entry)
wave2/longhorizon/variants/LH-2/toolchain/r34v3/wb_whitebox_tests.zag	zag	P0	coordinator	10784	done	flag: white-box suite driving the quarantined core — includes `rng_seed_sensitive` test that legitimizes the ruled-contaminant LCG; engineering-only, not evidence
wave2/longhorizon/variants/LH-3/RESULT.md	md	P1	coordinator	5862	done	review: already carries the 2026-09-20 contamination notice (QUARANTINED, Micah's REMEDIATE ruling); stability-at-100x verdict not canonical until clean LH-3R evidence cited; engineering record kept intact per annotation
