B01	the store is closed	shop door notice	a sign says the store is open
B02	the store is not closed	shop door notice	a sign says the store is open
B03	the door is open	hallway check	the door is not closed
B04	not all birds fly	field guide	penguins cannot fly
B05	the cat sat on the mat	pet diary	the cat was sitting on the mat
B06	the automobile is fast	car review	the car is speedy
B07	the tank holds between 90 and 110 liters	tank spec	the tank holds 105 liters
B08	the tank holds at least 100 liters	tank spec	the tank holds 90 liters
B09	the rain started after the clouds gathered	storm timeline	the clouds gathered, then the rain started
B10	the rain started before the clouds gathered	storm timeline	the clouds gathered, then the rain started
B11	the soup is cold	lunch review	the soup is steaming hot
B12	the soup is not hot	lunch review	the soup is ice cold
B13	the ball shattered the window	window accident report	the ball hit the window and the window shattered
B14	the drought caused the flood	flood inquiry	the flood was caused by heavy rain
B15	the umbrella kept her dry	rainy day note	the umbrella blocked the rain and she stayed dry
B16	the box weighs 5 kilograms	parcel label	the box weighs 5 kg
B17	she is taller than him	height records	she is 175 cm tall and he is 160 cm tall
B18	at least five guests arrived	party headcount	seven guests arrived
B19	at most five guests arrived	party headcount	seven guests arrived
B20	none of the lights are on	building check	no light is on
B21	every student passed	exam results	all students passed
B22	the chef cooked the meal	kitchen roster	the meal was cooked by the chef
B23	the chef cooked the meal	kitchen roster	the sous-chef cooked the meal
B24	twice as many cats as dogs were adopted	shelter numbers	10 cats and 5 dogs were adopted
B25	most voters approved the measure	referendum results	51 of 100 voters approved the measure
B26	there is no milk left	kitchen note	the fridge has no milk
B27	the drug might work	trial press note	researchers say the drug may be effective
B28	if it rains, the match is canceled	league rules	if it rains, the match will be canceled
B29	the assistant approved it, not the manager	office memo	the manager did not approve it; the assistant approved it
B30	the sandbags prevented flooding	flood defenses	the sandbags held back the water
B31	the window did not break the ball	window accident report	the ball hit the window and the window shattered
B32	the light is on	room check	the light is not off
B33	the meeting is not on Monday	schedule update	the meeting was moved from Monday to Tuesday
B34	fewer than ten people came	party headcount	seven people came
B35	more than ten people came	party headcount	seven people came
B36	the painting is genuine	gallery appraisal	the expert confirmed the painting is genuine
B37	the train did not leave at noon	departure board	the train left at 2 pm
B38	he is the tallest	team roster	he is taller than everyone else
B39	the glass is empty	table setting	the glass has nothing in it
B40	the glass is full	table setting	the glass has nothing in it
B41	she did not attend	attendance sheet	she was absent
B42	the river is wider than the stream	survey data	the river is 30 meters wide; the stream is 5 meters wide
B43	the river is narrower than the stream	survey data	the river is 30 meters wide; the stream is 5 meters wide
B44	the alarm did not ring	building log	the alarm was silent
B45	the alarm rang	building log	the alarm was silent
B46	no one was hurt	accident report	everyone escaped unhurt
