# prereg SHA256: f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30 (PREREG_SR.md FROZEN v1, f55d1dbbe1a6...)
bar	status	evidence
B1	PASS	n10 total = 0 (threshold 0)
B2	FAIL	V1=0 V2=44 (thresholds 0)
B3	FAIL	Gviol per family: admit=1, revoke=0, logic=0, cost=0, trap=0, ceiling/D=0, ceiling/O=2, ceiling/P=2, redteam=2; FAILING: admit, ceiling/O, ceiling/P, redteam
B4	PASS	meanConfCorrect = 0.746680 (n=4005, threshold >=0.50)
B4b	FAIL	admit: meanC=0.217430 (n=1240) FAIL; revoke: meanC=1.000000 (n=565) PASS; logic: meanC=1.000000 (n=1320) PASS; cost: meanC=1.000000 (n=625) PASS
B5	PASS	meanConfCorrect-meanConfWrong = 0.433196 (n_c=4005, n_w=462, threshold >=0.20)
B6	PASS	admit: 1240/1240=1.0000 PASS; revoke: 565/565=1.0000 PASS; logic: 1320/1320=1.0000 PASS; cost: 625/625=1.0000 PASS; trap: 0/0=vacuous(0/0) vacuous; ceiling/D: 70/70=1.0000 PASS; ceiling/O: 180/180=1.0000 PASS; ceiling/P: 0/0=vacuous(0/0) vacuous; redteam: 5/5=1.0000 PASS
B7	PASS	abstained 773/5240 = 0.147519 (threshold <=0.30)
B8	FAIL	admit: 5/4 defined, range=0.576786 PASS; revoke: 5/4 defined, flat FAIL; logic: 5/4 defined, flat FAIL; cost: 5/4 defined, flat FAIL; trap: 2/4 defined, flat FAIL; ceiling/D: 7/5 defined, flat FAIL; ceiling/O: 6/5 defined, range=1.000000 PASS; ceiling/P: 6/5 defined, range=1.000000 PASS; redteam: 0/4 defined, flat FAIL
B9	n/a-CTL	release+correct identity vs M4: 5240/5240 (applies to trained arms; CTL carries v2's frozen assertion)
B10	n/a-CTL	disconnect-real (source audit): applies to SR-S9 only
B10b	n/a-CTL	disconnect-real (mask audit): applies to SR-S1 only
B11	n/a-CTL	post-release-only evidence: applies to SR-S9/SR-S1 only
B12	RECORDED	total G>0 crossings = 4; admit=0; revoke=0; logic=0; cost=0; trap=0; ceiling/D=0; ceiling/O=1 [d2->4(-0.004->+0.000)]; ceiling/P=1 [d1->2(+0.000->+0.996)]; redteam=2 [d1->2(-0.333->+0.000), d4->8(+0.000->+1.000)]
B13	FAIL	min G over qualifying (F,d) = -1.000000 (threshold >= -0.100); OFFENDERS: admit/d1: G=-0.355 (n=248), admit/d2: G=-0.834 (n=248), admit/d4: G=-0.932 (n=248), admit/d8: G=-0.866 (n=248), admit/d16: G=-0.926 (n=248), ceiling/O/d1: G=-1.000 (n=40)
