F4A-01-r0	Wearing blue socks improves students' exam scores.	F4A-01	2	Students who wore blue socks on exam day scored 8% higher on average, proving lucky socks boost grades.
F4A-01-r1	Wearing blue socks improves students' exam scores.	F4A-01	1	The blue-sock wearers in the sample also reported studying two extra hours per week.
F4A-01-r2	Wearing blue socks improves students' exam scores.	F4A-01	0	Researchers caution that sock color has no plausible mechanism to affect test performance.
F4A-02-r0	Eating bananas before bed causes vivid dreams.	F4A-02	2	Late-night banana eaters report strikingly vivid dreams, so bananas must trigger them.
F4A-02-r1	Eating bananas before bed causes vivid dreams.	F4A-02	1	People who snack before bed generally recall more dreams regardless of the snack.
F4A-02-r2	Eating bananas before bed causes vivid dreams.	F4A-02	0	No controlled trial links banana compounds to dream intensity.
F4A-03-r0	Installing a rooftop antenna attracts lightning to a house.	F4A-03	2	Houses with rooftop antennas are struck by lightning more often, showing antennas draw lightning.
F4A-03-r1	Installing a rooftop antenna attracts lightning to a house.	F4A-03	2	Taller structures are struck more often; antenna houses in the data were on average taller.
F4A-03-r2	Installing a rooftop antenna attracts lightning to a house.	F4A-03	0	Antennas do not increase strike risk beyond the building's height profile.
F4A-04-r0	Chewing gum during meetings causes promotions.	F4A-04	2	Employees who chew gum in meetings get promoted faster, so gum-chewing drives career success.
F4A-04-r1	Chewing gum during meetings causes promotions.	F4A-04	1	Gum-chewers in the survey were also more likely to volunteer for visible projects.
F4A-04-r2	Chewing gum during meetings causes promotions.	F4A-04	0	No evidence connects gum-chewing to performance reviews.
F4A-05-r0	The office server is down.	F4A-05	2	If the server is down, the site will not load.
F4A-05-r1	The office server is down.	F4A-05	1	The site would not load this morning.
F4A-05-r2	The office server is down.	F4A-05	0	A DNS misconfiguration is blocking the site; the server itself is healthy.
F4A-06-r0	The new company logo caused the sales increase.	F4A-06	2	Sales rose 20 percent in the quarter after the logo redesign, proving the new logo drove growth.
F4A-06-r1	The new company logo caused the sales increase.	F4A-06	1	The same quarter saw the company's biggest ad campaign in five years.
F4A-06-r2	The new company logo caused the sales increase.	F4A-06	0	Analysts attribute the sales jump to the ad campaign, not the logo.
F4A-07-r0	Drinking celery juice reverses aging.	F4A-07	2	I drank celery juice daily and my wrinkles vanished, so celery juice reverses aging.
F4A-07-r1	Drinking celery juice reverses aging.	F4A-07	0	No clinical evidence supports anti-aging effects of celery juice.
F4A-07-r2	Drinking celery juice reverses aging.	F4A-07	0	Celery juice is hydrating but has no demonstrated effect on aging.
F4A-08-r0	Sleeping with socks on boosts immunity.	F4A-08	2	Wear socks to bed and you will never catch a cold; warm feet supercharge immunity.
F4A-08-r1	Sleeping with socks on boosts immunity.	F4A-08	0	No mechanism links foot warmth during sleep to immune function.
F4A-08-r2	Sleeping with socks on boosts immunity.	F4A-08	0	Sock-wearing affects sleep comfort, not immune markers.
F4A-09-r0	Scientists prove daily coffee extends lifespan.	F4A-09	1	One blogger insists coffee is proven to add years to your life.
F4A-09-r1	Scientists prove daily coffee extends lifespan.	F4A-09	2	Researchers say daily coffee consumption may be associated with slightly lower mortality.
F4A-09-r2	Scientists prove daily coffee extends lifespan.	F4A-09	0	The association is modest, may reflect confounding, and proves nothing about causation.
F4A-10-r0	The old bridge will definitely collapse within a year.	F4A-10	2	The bridge will surely fall within twelve months, engineers warn.
F4A-10-r1	The old bridge will definitely collapse within a year.	F4A-10	1	Inspectors say the bridge might need major repairs in the coming years.
F4A-10-r2	The old bridge will definitely collapse within a year.	F4A-10	0	No engineer has predicted collapse; the bridge is monitored and rated fair.
F4A-11-r0	The museum houses exactly 10,000 artifacts.	F4A-11	2	The collection holds between 12,000 and 15,000 artifacts and keeps growing.
F4A-11-r1	The museum houses exactly 10,000 artifacts.	F4A-11	1	We stopped counting precisely years ago; the catalog lists over twelve thousand.
F4A-11-r2	The museum houses exactly 10,000 artifacts.	F4A-11	0	The latest inventory records 13,842 artifacts.
F4A-12-r0	The city marathon course is exactly 40 kilometers.	F4A-12	2	The certified course measures 42.2 kilometers, a full marathon distance.
F4A-12-r1	The city marathon course is exactly 40 kilometers.	F4A-12	1	Our course is a standard 42.195 km marathon.
F4A-12-r2	The city marathon course is exactly 40 kilometers.	F4A-12	0	No certified marathon is 40 km; the standard is 42.195 km.
F4A-13-r0	The moon is made of cheese.	F4A-13	1	Ancient stories say the moon looks like a wheel of cheese.
F4A-13-r1	The moon is made of cheese.	F4A-13	2	Lunar samples show the moon is made of rock, not cheese.
F4A-13-r2	The moon is made of cheese.	F4A-13	2	Spectroscopy confirms a rocky composition; there is no cheese on the moon.
F4A-14-r0	Eating rocks improves digestion.	F4A-14	1	Ground stones are an ancient remedy my grandmother swore by.
F4A-14-r1	Eating rocks improves digestion.	F4A-14	2	Eating rocks damages teeth and the digestive tract; it does not aid digestion.
F4A-14-r2	Eating rocks improves digestion.	F4A-14	2	Rock ingestion causes bowel obstruction; seek care, do not eat rocks.
F4A-15-r0	Recharging your phone in the microwave extends battery life.	F4A-15	1	Microwave your phone for a full charge in seconds, they say.
F4A-15-r1	Recharging your phone in the microwave extends battery life.	F4A-15	2	Microwaving a phone destroys it and can start a fire.
F4A-15-r2	Recharging your phone in the microwave extends battery life.	F4A-15	2	Microwave radiation damages batteries; never microwave a phone.
F4A-16-r0	Planting coins in soil grows money trees.	F4A-16	1	Old tales tell of coins sprouting into money trees.
F4A-16-r1	Planting coins in soil grows money trees.	F4A-16	2	Coins do not germinate; plants grow from seeds, not currency.
F4A-16-r2	Planting coins in soil grows money trees.	F4A-16	0	Burying coins only corrodes them.
F4A-17-r0	Whales can fly if they believe in themselves.	F4A-17	1	In the cartoon, the whale believed and soared above the clouds.
F4A-17-r1	Whales can fly if they believe in themselves.	F4A-17	2	Whales lack wings and the anatomy for flight; belief changes nothing.
F4A-17-r2	Whales can fly if they believe in themselves.	F4A-17	0	A 30-tonne animal cannot generate lift by believing.
F4A-18-r0	Nobody enjoys cold pizza.	F4A-18	2	Most people prefer their pizza hot and fresh from the oven.
F4A-18-r1	Nobody enjoys cold pizza.	F4A-18	1	Plenty of fans say cold pizza the next morning is the best part.
F4A-18-r2	Nobody enjoys cold pizza.	F4A-18	0	38 percent of respondents reported enjoying cold pizza.
F4A-19-r0	Vitamin C megadoses prevent colds.	F4A-19	2	Huge vitamin C doses kept me cold-free all winter, proving prevention.
F4A-19-r1	Vitamin C megadoses prevent colds.	F4A-19	2	Large trials find vitamin C does not prevent colds in the general population.
F4A-19-r2	Vitamin C megadoses prevent colds.	F4A-19	2	Evidence does not support vitamin C for cold prevention.
F4A-20-r0	The Eiffel Tower is 500 meters tall.	F4A-20	1	Some say the tower stretches half a kilometer into the sky.
F4A-20-r1	The Eiffel Tower is 500 meters tall.	F4A-20	2	The Eiffel Tower is 330 meters tall including antennas.
F4A-20-r2	The Eiffel Tower is 500 meters tall.	F4A-20	2	Measured height: 330 m; 500 m is incorrect.
F4A-21-r0	Herbal cigarettes are safe because they are natural.	F4A-21	2	Herbal cigarettes contain only natural herbs, so they must be safe to smoke.
F4A-21-r1	Herbal cigarettes are safe because they are natural.	F4A-21	2	Inhaling any combusted plant matter damages lungs, natural or not.
F4A-21-r2	Herbal cigarettes are safe because they are natural.	F4A-21	1	Natural does not mean safe; smoke contains carcinogens regardless of source.
F4A-22-r0	Raw chicken is safe to eat, a celebrity chef says so.	F4A-22	2	Celebrity chef Marco says he eats raw chicken daily and feels great.
F4A-22-r1	Raw chicken is safe to eat, a celebrity chef says so.	F4A-22	2	Raw chicken carries salmonella; cooking to 165 degrees is required.
F4A-22-r2	Raw chicken is safe to eat, a celebrity chef says so.	F4A-22	2	Eating raw chicken causes thousands of illnesses yearly.
F4A-23-r0	Each brick is light, so the whole wall is light enough to lift.	F4A-23	1	One brick weighs just 2 kg, so a wall of them cannot be that heavy.
F4A-23-r1	Each brick is light, so the whole wall is light enough to lift.	F4A-23	2	A wall of 500 bricks weighs a tonne; lightness of parts does not transfer.
F4A-23-r2	Each brick is light, so the whole wall is light enough to lift.	F4A-23	0	Composition fallacy: properties of parts need not hold of the whole.
F4A-24-r0	The coin landed heads five times, so tails is due next.	F4A-24	2	Five heads in a row means tails is overdue; bet big on tails.
F4A-24-r1	The coin landed heads five times, so tails is due next.	F4A-24	2	Coin flips are independent; past outcomes do not change 50/50 odds.
F4A-24-r2	The coin landed heads five times, so tails is due next.	F4A-24	1	The gambler's fallacy: streaks do not create debts in random sequences.
F4A-25-r0	The library is open 25 hours a day.	F4A-25	1	Someone said the library never closes during finals.
F4A-25-r1	The library is open 25 hours a day.	F4A-25	2	The library is open 24 hours a day during finals week.
F4A-25-r2	The library is open 25 hours a day.	F4A-25	0	A day has 24 hours; 25-hour days do not exist.
F4A-26-r0	Water boils at 50 degrees Celsius at sea level.	F4A-26	1	Water supposedly boils at just 50 degrees, some claim.
F4A-26-r1	Water boils at 50 degrees Celsius at sea level.	F4A-26	2	Water boils at 100 degrees C at standard atmospheric pressure.
F4A-26-r2	Water boils at 50 degrees Celsius at sea level.	F4A-26	2	Measured boiling point at sea level: 100 degrees C, not 50.
F4A-27-r0	The garden gate is locked.	F4A-27	2	The gate must be locked because it did not rain today.
F4A-27-r1	The garden gate is locked.	F4A-27	0	No one checked the gate today.
F4A-27-r2	The garden gate is locked.	F4A-27	0	I do not remember whether I locked it.
F4A-28-r0	The streets are flooded.	F4A-28	2	If it maybe rained hard, the streets would be flooded.
F4A-28-r1	The streets are flooded.	F4A-28	1	The gauge recorded 2 mm, a light drizzle.
F4A-28-r2	The streets are flooded.	F4A-28	0	No flooding reported anywhere in the city.
F4A-29-r0	The package arrived yesterday.	F4A-29	2	It arrived because the delivery happened before the delivery.
F4A-29-r1	The package arrived yesterday.	F4A-29	0	Tracking shows the package still in transit.
F4A-29-r2	The package arrived yesterday.	F4A-29	0	Nothing arrived at my door yesterday.
F4A-30-r0	All mammals lay eggs.	F4A-30	1	Some picture books show mammals hatching from eggs.
F4A-30-r1	All mammals lay eggs.	F4A-30	2	Only monotremes lay eggs; all other mammals give live birth.
F4A-30-r2	All mammals lay eggs.	F4A-30	2	Most mammals do not lay eggs.
F4A-31-r0	The store is both open and closed right now.	F4A-31	1	The lights are on but the door is locked; it is open and closed.
F4A-31-r1	The store is both open and closed right now.	F4A-31	2	The store is closed; it opens at 9 AM tomorrow.
F4A-31-r2	The store is both open and closed right now.	F4A-31	0	We are closed right now.
F4A-32-r0	Every scientist endorses this statement.	F4A-32	2	This statement is endorsed by every scientist alive.
F4A-32-r1	Every scientist endorses this statement.	F4A-32	0	No survey of scientists about this statement exists.
F4A-32-r2	Every scientist endorses this statement.	F4A-32	0	The endorsement claim is unverifiable.
F4B-01-r0	Owls are not blind at night.	F4B-01	3	Owls are not blind at night; they see superbly in low light.
F4B-01-r1	Owls are not blind at night.	F4B-01	2	Far from blind, owls have exceptional night vision.
F4B-02-r0	The museum is closed on Mondays.	F4B-02	3	The museum is closed on Mondays.
F4B-02-r1	The museum is closed on Mondays.	F4B-02	2	Note: closed Mondays, open Tuesday through Sunday.
F4B-03-r0	The match is cancelled.	F4B-03	2	If it rains, the match is cancelled.
F4B-03-r1	The match is cancelled.	F4B-03	2	It is raining at the stadium now.
F4B-04-r0	The alarm will sound.	F4B-04	2	If smoke is detected, the alarm sounds.
F4B-04-r1	The alarm will sound.	F4B-04	2	Smoke was detected on floor three.
F4B-05-r0	The plants are watered.	F4B-05	3	I watered the plants this morning, so they are watered.
F4B-06-r0	The streets are wet.	F4B-06	2	Heavy rain fell overnight, leaving the streets wet.
F4B-06-r1	The streets are wet.	F4B-06	1	Morning cameras show wet streets across downtown.
F4B-07-r0	The library holds between 20,000 and 30,000 books.	F4B-07	2	The catalog lists exactly 24,500 books.
F4B-07-r1	The library holds between 20,000 and 30,000 books.	F4B-07	1	Last inventory counted 24,500 volumes.
F4B-08-r0	The package weighs at most 10 kilograms.	F4B-08	2	The scale reads 7 kg for the package.
F4B-09-r0	No reptiles are warm-blooded.	F4B-09	3	No reptiles are warm-blooded; all are ectotherms.
F4B-09-r1	No reptiles are warm-blooded.	F4B-09	2	Reptiles rely on external heat; none is warm-blooded.
F4B-10-r0	The train arrived before noon.	F4B-10	3	The train arrived at 11:42, before noon.
F4B-10-r1	The train arrived before noon.	F4B-10	1	We pulled in just before twelve.
F4B-11-r0	The water is safe to drink.	F4B-11	3	All 40 samples passed safety tests, so the water is safe to drink.
F4B-11-r1	The water is safe to drink.	F4B-11	2	Treatment completed and verified; the water is safe.
F4B-12-r0	The door is locked.	F4B-12	2	I locked the door myself; the door is locked.
F4B-13-r0	Some birds cannot fly.	F4B-13	2	Some birds cannot fly: penguins and ostriches are flightless.
F4B-14-r0	The soup contains no peanuts.	F4B-14	3	The soup contains no peanuts.
F4B-14-r1	The soup contains no peanuts.	F4B-14	2	Peanut-free: the soup contains no peanuts.
F4B-15-r0	The bridge held at least 50 tonnes in the load test.	F4B-15	3	The bridge held 62 tonnes in the certified load test.
F4B-16-r0	The dog escaped.	F4B-16	2	If the gate is open, the dog escapes.
F4B-16-r1	The dog escaped.	F4B-16	2	The gate was open this afternoon.
F4B-17-r0	The drinking water is safe.	F4B-17	3	No contaminants were detected in the drinking water.
F4B-17-r1	The drinking water is safe.	F4B-17	2	All drinking water samples met safety standards.
F4B-17-r2	The drinking water is safe.	F4B-17	1	The drinking water supply passed every inspection.
F4B-18-r0	Every invoice was paid on time.	F4B-18	3	The audit found zero late payments.
F4B-18-r1	Every invoice was paid on time.	F4B-18	2	Payment records show no invoice past due.
F4B-19-r0	The parcel qualifies for letter-post rates.	F4B-19	2	The parcel weighs 1 kg.
F4B-19-r1	The parcel qualifies for letter-post rates.	F4B-19	2	Letter-post rates cover parcels up to 2 kg.
F4B-20-r0	The fire was accidental.	F4B-20	3	Investigators ruled out arson and found faulty wiring.
F4B-20-r1	The fire was accidental.	F4B-20	2	No evidence of intentional ignition was found.
F4B-21-r0	The restaurant is highly rated.	F4B-21	2	Diners rate the restaurant 4 out of 5 stars across 800 reviews.
F4B-21-r1	The restaurant is highly rated.	F4B-21	2	Critics praise the restaurant; it tops the city rankings.
F4B-22-r0	The bridge reopens in March.	F4B-22	1	The bridge reopens in March, the city announced.
F4B-22-r1	The bridge reopens in March.	F4B-22	1	Repairs finish in February; reopening set for March.
F4B-23-r0	Regular exercise lowers resting heart rate.	F4B-23	2	Regular exercisers show lower resting heart rates in trials.
F4B-23-r1	Regular exercise lowers resting heart rate.	F4B-23	2	Training strengthens the heart, reducing resting pulse.
F4B-24-r0	The software update fixed the crash bug.	F4B-24	2	Version 2.1 fixed the crash bug reported last month.
F4B-24-r1	The software update fixed the crash bug.	F4B-24	2	No crashes observed in 500 test runs after the update.
F4B-25-r0	The new packaging is preferred by customers.	F4B-25	2	68 percent of customers prefer the new packaging.
F4B-25-r1	The new packaging is preferred by customers.	F4B-25	1	Customers favored the new design in testing.
