CUR-01	Drinking coffee causes cancer.	Coffee doesn’t cause cancer, but hot drinks might - Sharecare	A group of 23 scientists reviewed studies and found inadequate evidence.
CUR-02	Drinking coffee causes cancer.	WHO no longer says coffee causes cancer	As of June 15, coffee got a clean bill of health.
CUR-03	Drinking coffee causes cancer.	Coffee and cancer: what the evidence says - WHO	The IARC Monographs Programme seeks to classify cancer hazards.
CUR-04	The Earth is flat.	5 Real-World Flat-Earth Proofs - YouTube	Top 5 proofs the earth is flat.
CUR-05	The Earth is flat.	The Flat Earth - tfes.org	The Flat Earth Wiki.
CUR-06	The Earth is flat.	Shape of the Earth - Britannica	empirical observations revealed that Earth's shape was spherical.
CUR-07	Earth orbits the Sun.	Solar System - Wikipedia	One complete orbit takes 365.256 days, during which time Earth has traveled.
CUR-08	Earth orbits the Sun.	Why does the Earth orbit the Sun? - TikTok	why does earth orbit the sun, earth orbit vs jupiter and not saturn.
CUR-09	Earth orbits the Sun.	EARTH does NOT REVOLVE around the SUN - How Earth Orbits...	This video explains that Earth does not revolve around the Sun.
CUR-10	This one fruit dissolves blood clots, doctors hate it.	These 7 Fruits Dissolve Blood Clots FAST - YouTube	Doctors are shocked by these fruits.
CUR-11	This one fruit dissolves blood clots, doctors hate it.	Blood thinners - WebMD	Blood thinners don’t dissolve the clot.
CUR-12	Chocolate cures insomnia, new study shows.	Cure Insomnia in 5 Minutes with Pouring Rain - YouTube	Rain sounds to cure insomnia fast.
CUR-13	Chocolate cures insomnia, new study shows.	15 Natural Insomnia Cures You Haven't Tried - Lifehack	Natural insomnia cures that work.
CUR-14	The tallest mountain in the world is Mount Everest.	Tallest mountain - Guinness	Mauna Kea on the island of Hawaii, USA, is the world's tallest mountain.
CUR-15	The tallest mountain in the world is Mount Everest.	Mount Everest - Wikipedia	Mount Everest is the world's highest mountain.
CUR-16	The Apollo moon landings were faked.	How do we know that we went to the Moon? - iop.org	Evidence that the moon landings were real.
CUR-17	Water boils at 100 degrees Celsius at sea level.	Boiling Point of Water - sciencenotes.org	At sea level, water boils at 100C.
CUR-18	Water boils at 100 degrees Celsius at sea level.	Why does water boil? - co.uk	At sea level, water boils at 100C because of pressure.
