A01	The sprinkler ran this morning.	lawn wet	If the sprinkler runs, the lawn is wet. The lawn is wet this morning.	NEUTRAL
A02	The server overheated at noon.	alarm	Whenever the server overheats, the alarm sounds. The alarm sounded at noon.	NEUTRAL
A03	The plant died.	watering	If you water the plant, it survives. You did not water the plant.	NEUTRAL
A04	Storks bring babies, causing higher birth rates.	storks	Towns with more storks have higher birth rates.	DENY
A05	The new logo caused the sales increase.	logo	The new logo launched in May, and sales rose in June.	NEUTRAL
A06	Tails is now more likely than heads on the next flip.	coin	The coin landed heads five times in a row.	DENY
A07	There is a 99 percent chance the patient has the disease.	test	The test is 99 percent accurate. The patient tested positive.	NEUTRAL
A08	Dropping out of college leads to becoming a billionaire.	dropout	Every billionaire profiled in the article dropped out of college.	NEUTRAL
A09	Tourists dislike the city.	tourists	The reporter interviewed two tourists who disliked the city.	NEUTRAL
A10	The herbal tea cures insomnia.	actor	A famous actor said the herbal tea cures insomnia.	NEUTRAL
A11	The researcher's published findings are false.	ad hominem	The researcher was once caught cheating on an exam.	NEUTRAL
A12	The study's results are false.	funding	The safety study was funded by the manufacturer.	NEUTRAL
A14	Those are the only two options available to the city.	dilemma	The mayor said the city must either raise taxes or cut all parks funding.	NEUTRAL
A15	The council will eventually ban all cars in the city.	slope	The council approved bike lanes downtown.	NEUTRAL
A16	The senator wants to confiscate all firearms.	strawman	The senator supports background checks on gun sales.	NEUTRAL
A17	No real biologist disputes the theory.	scotsman	Several biologists dispute the theory.	DENY
A18	The whole wall weighs one pound.	composition	Each brick in the wall weighs one pound.	DENY
A19	Every doctor at the hospital is the best in the state.	division	The hospital is the best in the state.	NEUTRAL
A20	The eroding institution raised interest rates.	equivocation	The river bank is eroding, and the central bank raised interest rates.	DENY
A21	She is innocent of fraud.	acquittal	The jury found her not guilty of fraud.	NEUTRAL
A22	The trial proved the supplement does not improve memory.	no-proof	The trial failed to prove the supplement improves memory.	NEUTRAL
A23	The chemical has been proven safe long-term.	no-studies	No studies have yet examined the chemical's long-term effects.	NEUTRAL
A24	The coffee is cold.	not-hot	The coffee is not hot.	NEUTRAL
A25	The project will finish on time.	belief	He believes the project will finish on time.	NEUTRAL
A26	The spill was contained.	spokesman	The spokesman claimed the spill was contained.	NEUTRAL
A27	The coach told them exactly one million times to stretch.	hyperbole	The coach said he has told them a million times to stretch.	DENY
A28	She caused someone's death at the audition.	metaphor	The review said she killed the audition.	DENY
A29	Mara was pleased about the third delay.	irony	After the third delay, Mara said, Oh, great, just what I needed.	DENY
A30	Someone kicked a bucket at the factory in 1998.	idiom	The article said the old factory kicked the bucket in 1998.	DENY
A31	The mail carrier bit the dog.	reversal	The dog bit the mail carrier.	DENY
A32	The chef praised the critic.	reversal2	The critic praised the chef.	DENY
A34	She owns the house now.	bought	She bought the house in 2020.	NEUTRAL
A35	The dye was proven to cause rashes.	weasel	The data suggest a possible link between the dye and rashes.	NEUTRAL
A36	Support rose by 5 percent.	percent-pp	Support rose from 40 percent to 45 percent.	DENY
A37	The price fell by 200 percent.	percent-drop	The price fell from 200 dollars to 50 dollars.	DENY
A38	Crime in the town doubled.	per-capita	The town's population doubled while total crimes stayed flat.	DENY
A39	The drug makes the side effect very likely.	relative-risk	The drug raised the risk of the side effect from 1 in a million to 2 in a million.	DENY
A40	The treatment is effective for patients.	cherry-pick	Of the 200 patients enrolled, the 12 who finished the trial all improved.	NEUTRAL
A42	The rookie's skills declined after his debut.	regression	The rookie scored 40 points in his debut, then 12 the next game.	NEUTRAL
A43	The study proves the drug cures the disease in humans.	motte-bailey	The study found a small effect in mice.	NEUTRAL
A44	The 2019 accounts were found to be clean.	presupposition	The audit never examined the 2019 accounts.	NEUTRAL
A45	Mike had been fired.	pronoun	John told Mike that he had been fired.	NEUTRAL
A46	Every cardholder entered the lounge.	only	Only cardholders may enter the lounge.	NEUTRAL
A47	Some household has exactly 2.4 members.	average	The average household has 2.4 members.	DENY
A48	The inspector never visited the site.	double-neg	It is not true that the inspector never visited the site.	DENY
A49	Low vitamin D causes depression.	reverse-cause	Depressed patients in the study had low vitamin D.	NEUTRAL
