id	claim	evidence	oracle
A01	Parking is free after six in the evening downtown.	sincere municipal announcement; no humorous intent	NONJOKE
A02	The museum offers free admission on the first Sunday of each month.	sincere public notice; no humorous intent	NONJOKE
A03	We adopted a pet rabbit from the shelter last spring.	sincere family statement of fact	NONJOKE
A04	The ram charged the fence when the farmer approached.	sincere farm observation; no humorous intent	NONJOKE
A05	I downloaded the tax forms from the government website yesterday.	sincere factual statement	NONJOKE
A06	After he quit smoking, my grandfather lived to be a hundred.	plausible true family anecdote; sincere	NONJOKE
A07	She quit drinking soda and lived to a ripe old age.	plausible true health anecdote; sincere	NONJOKE
A08	Iron deficiency is common among runners; she wore compression socks for the marathon.	factual health/sport statement; sincere	NONJOKE
A09	The moon base greenhouse will grow potatoes in regolith made of crushed basalt.	serious space-program statement	NONJOKE
A10	Close your eyes and rest at the roadside after a long drive.	sincere driver-safety advice	NONJOKE
A11	We replaced the flat tire with the spare while I finished my coffee.	ordinary roadside account; sincere	NONJOKE
A12	Insert the baking tray into the oven and set the timer for twenty minutes.	genuine recipe instruction	NONJOKE
A13	Pour the bleach into the bucket, add water, and mop the floor.	genuine cleaning instructions	NONJOKE
A14	The technician deleted obsolete registry entries during the system cleanup.	genuine IT work log	NONJOKE
A15	Do not trust a headline that made up its quotes; verify everything before sharing.	sincere media-literacy advice	NONJOKE
B01	You are free to leave this office and never come back.	hostile dismissal; sincere, not funny	NONJOKE
B02	Nobody likes you and your pet is ugly.	direct insult; sincere hostility, not funny	NONJOKE
B03	I am glad you downloaded that virus, you idiot.	hostile taunt; sincere, not funny	NONJOKE
B04	You talk like a ram with a head injury.	direct insult; sincere hostility	NONJOKE
B05	Shut your eyes and drive off a cliff, nobody would miss you.	hostile wish of harm; not funny	NONJOKE
B06	Stick your head in the oven, it is the only useful thing you can do.	hostile insult; not funny	NONJOKE
B07	Drink bleach, it cannot make you any dumber.	hostile taunt; not funny	NONJOKE
B08	Iron your face while wearing that stupid grin.	hostile insult; not funny	NONJOKE
B09	Everyone at the meeting agreed you are a complete joke.	hostile put-down; sincere	NONJOKE
B10	Your upgrade broke everything, genius.	hostile sarcasm-free complaint; not funny	NONJOKE
B11	I do not trust a word you say; you made up everything on your resume.	hostile accusation; sincere	NONJOKE
B12	Keep drinking soda at your desk; you will be here until you are ninety.	hostile taunt; not funny	NONJOKE
B13	Eat chalk, moron.	hostile insult; not funny	NONJOKE
B14	Go hug a bear, it would be an improvement.	hostile taunt; not funny	NONJOKE
B15	Local man discovers you are an idiot, experts confirm.	hostile mock-headline; not funny	NONJOKE
C01	I never iron my shirts; I just buy new ones when the wrinkles win.	self-deprecating joke with negation	JOKE
C02	My doctor told me to stop drinking coffee. I stopped seeing that doctor.	classic contrast-structure joke	JOKE
C03	I do not trust stairs. They are always up to something.	pun joke with negation	JOKE
C04	I asked the librarian for books on paranoia. She whispered, "They are right behind you."	classic paranoia joke	JOKE
