# RT3e deadpan corpus — natural sincere non-jokes (oracle OTHER).
# Written 2026-09-24T03:08:55-07:00 by the RT3e attacker from everyday life.
# Rule: natural text a person would actually write or say. No rule-targeting.
# Format: id \t claim \t evidence-context \t oracle
D01	I waited at the DMV for two hours on Tuesday just to renew my license.	texted to a friend	OTHER
D02	The dog threw up on the living room rug again this morning.	told my spouse	OTHER
D03	Our flight was delayed three hours because of storms over Chicago.	texted to a friend	OTHER
D04	I made spaghetti last night and the sauce splattered all over the stove.	said at dinner	OTHER
D05	The plumber said the water heater is shot and needs replacing.	told my spouse	OTHER
D06	I forgot my umbrella and got completely soaked walking to the train.	texted to a friend	OTHER
D07	We spent the whole weekend cleaning out the garage. Found boxes we have not opened since we moved in.	told a neighbor	OTHER
D08	The baby finally slept through the night on Thursday.	told my mother	OTHER
D09	I locked my keys in the car at the grocery store parking lot.	called my spouse	OTHER
D10	The meeting ran so long I missed my lunch break entirely.	told a coworker	OTHER
D11	You want to salt the pasta water before it comes to a boil.	cooking advice to a friend	OTHER
D12	The mechanic says to change the oil every five thousand miles.	advice from the shop	OTHER
D13	If that leak gets any worse you need to call the landlord.	told a roommate	OTHER
D14	Do not plant the tomatoes until after the last frost.	gardening advice	OTHER
D15	Back up your photos before you update the phone software.	advice to my dad	OTHER
D16	The city council voted to repave Main Street starting in June.	local news	OTHER
D17	A new coffee shop opened on the corner of Fifth and Elm.	told a friend	OTHER
D18	The high school team won Friday's game twenty-one to fourteen.	local news	OTHER
D19	The library is extending its weekend hours for the summer.	library notice	OTHER
D20	Gas prices jumped twelve cents a gallon this week.	news	OTHER
D21	The internet keeps dropping out every evening this week.	complaint to the provider	OTHER
D22	My neighbor's dog barks all night and I can barely sleep.	complaint to a friend	OTHER
D23	The line at the post office was out the door again today.	complaint to a coworker	OTHER
D24	They raised the downtown parking rates and it is ridiculous.	complaint to a friend	OTHER
D25	The dishwasher leaves spots on everything no matter what detergent I try.	complaint to my spouse	OTHER
D26	What time does the hardware store close on Sundays?	asked a clerk	OTHER
D27	The prescription is ready for pickup after four o'clock.	pharmacy message	OTHER
D28	I need to pick up milk and eggs on the way home.	note to self	OTHER
D29	The dentist said I have a cavity in my upper left molar.	told a friend	OTHER
D30	Traffic on the freeway was bumper to bumper this morning.	told a coworker	OTHER
D31	My back has been killing me since I helped move the couch.	complaint to a friend	OTHER
D32	The kids tracked mud all through the hallway again.	told my spouse	OTHER
D33	I have a dentist appointment at three on Thursday.	calendar note	OTHER
D34	The basement flooded a little during last night's storm.	told a neighbor	OTHER
D35	She asked me to proofread her cover letter before Friday.	asked by a friend	OTHER
D36	The new tires cost more than I expected.	told my spouse	OTHER
D37	I burned the toast because the toaster setting was too high.	said at breakfast	OTHER
D38	The package was supposed to arrive Tuesday but it still is not here.	complaint to a friend	OTHER
D39	We need to replace the batteries in the smoke detector.	note to self	OTHER
D40	The landlord finally fixed the broken step on the porch.	told a roommate	OTHER
