path	kind	tier	owner	size	status	verdict
GROK47_OVERNIGHT/memory/VERDICT_SHEET.md	md	P0	coordinator	4582	done	review: rounds 1-7 complete + all red-teams adjudicated. H-PinKill CONFIRM (fixture-scope, 3 multi-kills at revelation); H-ContextGate REFUTE as stated (5+1 promotes, frozen gate ver>=6 && ctx>=2); H-TombRevive REFUTE as stated (1-verify revives); ctx32 silent-drop, ctx31 popcnt HANG (exit 124, build-qualified); R5 P1 gate CONFIRM all; R6 P0-fine kill-bar FAILED (P2 corroborated-revive matches on A, strictly dominates on B); R7 O3 revive->consolidate dead-end CONFIRMED (rc 312, repair proposal only). grok-4.7 hard-down (429), sol fallback, then fully native. Nothing left to document.
units/arms/L2/evidence/legs/m1-1x-code/fragment.jsonl	jsonl	P2	representation	294	done	PASS: metrics-v1, recall 100.0, boundary 100.0, 148678 units, id_probe PASS, id_changes 0, xepoch misses 0.
units/arms/L2/evidence/legs/m2-t2-code/fragment.jsonl	jsonl	P2	representation	293	done	PASS: metrics-v1, ep0 0.0 (no leak), final recall/boundary 100.0, epoch bumps 0.
units/arms/L2/evidence/legs/m2-t2-prose/fragment.jsonl	jsonl	P2	representation	294	done	PASS: metrics-v1, ep0 0.0, final recall/boundary 100.0, mirrors code leg.
units/arms/L2/evidence/legs/m2-t3-1x/fragment.jsonl	jsonl	P2	representation	391	done	PASS: metrics-v1, m9 fast-then-flat, takeoff ep1, steepness 100.0, late_gain 0.0.
units/arms/L2/evidence/legs/m3-1x/fragment.jsonl	jsonl	P2	representation	304	done	PASS: metrics-v1, survival/fresh 100.0, mgmt 9053, weaken 50/50, freeze CLEAR.
units/arms/L2/evidence/legs/m4-1x-prose/fragment.jsonl	jsonl	P2	representation	367	done	PASS: metrics-v1, rev boundary/content 100.0, kill 0.0, xepoch recalls 400 misses 0.
units/arms/L2/evidence/legs/m5-1x/fragment.jsonl	jsonl	P2	representation	330	done	PASS: metrics-v1, 84731 units, 5.42MB learned, slot table 23.35MB, ledger 5.49MB / 85738 entries.
units/arms/L2/evidence/legs/m5-baseline/fragment.jsonl	jsonl	P2	representation	127	done	PASS: placeholder only {"m5_baseline":"ready"} — no metrics by design.
units/arms/L2/evidence/legs/m6-p2c-1x/fragment.jsonl	jsonl	P2	representation	298	done	PASS: metrics-v1, rec/bnd/rev/indomain 100.0, tax 0.0, epoch bumps 15.
