R1	The rooster's crow causes sunrise	Farm	The rooster crows every morning before sunrise.
R2	Maria passed the exam	School	Everyone who passed the exam received a certificate. Maria received a certificate.
R3	The streets are dry	Weather	If it rains the streets get wet. It did not rain.
R4	The tank holds 100 liters	Specs	The tank holds 80 liters.
R5	The drug definitely works	Medicine	The drug may work for some patients.
R6	All swans are white	Ornithology	All swans are white. A black swan was sighted in Australia.
R7	Homeopathy cures flu	Celebrity	A famous actor says homeopathy cures flu.
R8	Dropping out guarantees success	Business	Gates and Jobs dropped out and succeeded.
R9	The test is 99 percent accurate so a positive means 99 percent chance of disease	Clinic	The test has 99 percent accuracy. The patient tested positive.
R10	None of the trials failed	Tests	None of the trials failed.
R11	Not all birds fly	Nature	Penguins are birds that cannot fly.
R12	The drug is not ineffective	Medicine	The drug is effective.
R13	The patient does not have the disease	Clinic	If the patient had the disease the test would be positive. The test is negative.
R14	At least five people attended	Meeting	Seven people attended the meeting.
R15	The levees prevented flooding	Storm	The levees held and the town did not flood.
R16	It is not true that all metals are magnetic	Physics	Copper is a metal and copper is not magnetic.
R17	Nobody was injured	Accident	Nobody was injured in the crash.
R18	The bridge collapsed because it was overloaded	Engineering	The bridge was overloaded and then it collapsed.
