# world.tsv: world facts with violation cues; authored by subagent via manual authoring of candidate facts + deterministic interleave thinning for breadth; 2026-09-24
air conditioner	cools rooms, summer, cold air	blows hot air, heats room, broken	fact=an air conditioner cools rooms
alarm clock	wakes you, ringing, morning	silent, didn't ring, snoozed forever	fact=an alarm clock wakes you by ringing
anti-gravity	float, weightless, space	put down, set down, table	fact=anti-gravity makes things float
atm	cash, withdraw, money	dispenses soup, gives hugs, eats cards	fact=an atm dispenses cash
bacon	pig, breakfast, crispy	grows on trees, tofu, from cows	fact=bacon comes from pigs
banana	yellow, peel, fruit	blue, neon, square	fact=bananas are yellow when ripe
bed	sleep, mattress, night	for standing, made of stone, awake	fact=a bed is for sleeping
bicycle	two wheels, pedals	one wheel, no pedals, four wheels	fact=a bicycle has two wheels and pedals
birthday	once a year, cake, candles	twice a year, every month, no cake	fact=a birthday comes once a year
blood	red, circulates, veins	blue, green, still	fact=blood is red and circulates
brain	thinks, head, mind	in the foot, doesn't think, tiny	fact=the brain does the thinking
breakfast	morning, eggs, first meal	at midnight, dinner food, skipped	fact=breakfast is the morning meal
bridge	crosses, river, span	goes nowhere, underwater, dead end	fact=a bridge crosses a gap
butter	dairy, melts, spread	made of wood, never melts, chunky	fact=butter is dairy and melts
calculator	math, numbers, compute	wrong answers, guesses, spells	fact=a calculator does math
camera	photos, lens, capture	takes naps, paints, draws	fact=a camera captures images
car	drives, roads, wheels	flies, swims, no wheels	fact=a car drives on roads
cash	paper money, physical	grows on trees, free, digital only	fact=cash is physical money
cat	meows, purrs, independent	barks, does taxes, obedient	fact=a cat meows
cereal	breakfast, milk, bowl	dinner, dry with soda, no milk	fact=cereal is eaten with milk at breakfast
cheese	dairy, milk, aged	grows on trees, plastic, meat	fact=cheese is made from milk
chicken	bird, eggs, clucks	lays square eggs, mammal, roars	fact=a chicken is a bird that lays eggs
church	worship, pray, sunday	nightclub, casino, shopping	fact=a church is for worship
cloud	sky, vapor, white	cotton candy, on the ground, solid	fact=a cloud is water vapor in the sky
coin	heads, tails, flip	three sides, lands on edge, blank	fact=a coin has heads and tails
computer	processes, programs, data	disobeys, daydreams, feelings	fact=a computer follows instructions
cow	moos, milk, pasture	barks, lays eggs, chocolate milk	fact=a cow moos and gives milk
crocodile	reptile, teeth, swamp	vegetarian, cuddly, pet	fact=a crocodile is a dangerous reptile
dentist	teeth, drill, cavity	ruins teeth, afraid of teeth, no license	fact=a dentist fixes teeth
diamond	hard, gem, sparkle	soft, scratches easily, glass	fact=a diamond is very hard
diet	eat less, healthy, lose weight	eat more, cake diet, gain	fact=a diet means eating less
doctor	heals, medicine, hospital	makes sick, prescribes candy, google	fact=a doctor treats illness
donut	sweet, ring, fried	healthy, square, baked	fact=a donut is a sweet fried ring
dragon	fire, mythical, scales	breathes ice, real, fire extinguisher	fact=a dragon breathes fire
earthquake	shakes, ground, fault	scheduled, gentle, massage	fact=an earthquake shakes the ground
egg	fragile, shell, chicken	unbreakable, bouncy, square	fact=an egg is fragile
electric company	bill, utility, gas company, water company	after me, chasing, owe	fact=utility companies send bills
electricity	wires, power, current	runs on water, free, wireless	fact=electricity flows through wires
email	instant, inbox, send	takes weeks, horse, paper	fact=email is instant
escalator	moving stairs, mall	not moving, broken, stairs	fact=an escalator is moving stairs
feather	light, bird, soft	heavy, sinks, stone	fact=a feather is light
fire	hot, burns, flames	cold fire, doesn't burn, wet	fact=fire is hot and burns
fish	swims, water, gills	drowns, afraid of water, walks	fact=a fish swims in water
floor	walk, ground, tiles	ceiling, lava, walls	fact=a floor is walked on
football	oval, thrown, touchdown	perfectly round, kicked only, no hands	fact=a football is oval
french fries	fried, potatoes, salty	baked, healthy, raw	fact=french fries are fried potatoes
frog	jumps, croaks, pond	walks, silent, desert	fact=a frog jumps and croaks
front camera	selfie, facetime, video call	faces away, rear-facing, blind	fact=the front camera faces the user
funeral	mourning, sad, burial	party, celebration, laughter	fact=a funeral is for mourning
garden	plants, grows, flowers	concrete, weeds only, desert	fact=a garden grows plants
gazpacho	cold soup, tomato, chilled	served hot, heated, steaming	fact=gazpacho is served cold
gift	given, wrapped, free	invoiced, taken back, receipt demanded	fact=a gift is given freely
glass	transparent, fragile, window	opaque, unbreakable, wood	fact=glass is transparent and fragile
glove	hands, fingers, warm	feet, one finger, summer	fact=a glove covers the hand
gold	precious, metal, shiny	cheap, rusts, dull	fact=gold is a precious metal
grass	green, lawn, grows	blue, doesn't grow, plastic	fact=grass is green and grows
guitar	strings, strum, music	drums, no strings, silent	fact=a guitar has strings
hammer	nails, hits, tool	screws, rubber, gentle taps	fact=a hammer drives nails
hat	head, worn, cap	worn on foot, keeps feet warm, bowl	fact=a hat is worn on the head
heart	pumps, blood, beats	pumps air, beats backwards, stops	fact=the heart pumps blood
helmet	protects head, safety	protects feet, paper, decoration	fact=a helmet protects the head
honey	sweet, bees, hive	salty, made by bears, maple	fact=bees make honey
hospital	heals, sick, doctors	casino, hotel, makes sick	fact=a hospital treats the sick
hotel	guests, sleep, rooms	permanent home, no beds, office	fact=a hotel hosts guests overnight
hurricane	storm, wind, destructive	gentle breeze, scheduled, calm	fact=a hurricane is a destructive storm
ice cream	frozen, sweet, dessert	hot, healthy, soup	fact=ice cream is a frozen dessert
igloo	ice, blocks, arctic	made of wood, desert, melted	fact=an igloo is made of ice blocks
insect	six legs, bug, small	eight legs, no legs, huge	fact=an insect has six legs
insurance	pays, damage, claim	causes damage, never pays, free	fact=insurance pays for damage
island	water, surrounded, beach	surrounded by land, mainland, desert	fact=an island is surrounded by water
