1	wiki:simple:-34:sent000001	The T-34 has good armor, a fairly powerful engine and wide tracks.
2	wiki:simple:-34:sent000002	The initial version of the T-34 had a powerful 76.2mm L-11 gun, and was often called the T-34-76.
3	wiki:simple:-34:sent000003	In 1944, a second version began production, the T-34-85, with a larger and more powerful 85mm ZIS-S-53 cannon to deal with newer German tanks.<ref name="Zaloga-1983-14">Zaloga & Grandsen 1983:14</ref>  Zaloga, Steven J., James Grandsen (1983).
4	wiki:simple:-34:sent000004	T-34 in Action, Carrollton, Texas: Squadron/Signal. .
5	wiki:simple:-carotene:sent000000	β-Carotene (beta carotene) is a type of pigment found in plants.
6	wiki:simple:-carotene:sent000001	It is the most common type of carotene.
7	wiki:simple:-carotene:sent000002	It gives vegetables and fruits an orange colour.  β-Carotene is found in many fruits and vegetables.
8	wiki:simple:-carotene:sent000003	It causes the colour of many orange foods, including carrots, mangoes, pumpkins, and sweet potatoes.<ref></ref> It is also found in leaf vegetables, but chlorophyll covers up the colour.
9	wiki:simple:-carotene:sent000004	Mammals change β-carotene into vitamin A during digestion.
10	wiki:simple:-carotene:sent000005	Unlike eating vitamin A directly, eating β-carotene is at a low risk of hypervitaminosis A because the digestive system only makes vitamin A when more is needed.<ref>Olson JM, Daley SF, Goyal A.
12980	wiki:simple:1910_in_music:sent000039	Adrian Ross m.
12981	wiki:simple:1910_in_music:sent000040	Lionel Monckton "Constantly" w.
12982	wiki:simple:1910_in_music:sent000041	Chris Smith m.
12983	wiki:simple:1910_in_music:sent000042	James Henry Burris "Day Dreams, Visions Of Bliss" w.
12984	wiki:simple:1910_in_music:sent000043	Smith & Robert B.
12986	wiki:simple:1910_in_music:sent000045	Beth Slater Whitson m.
12987	wiki:simple:1910_in_music:sent000046	Herbert Ingraham "Down By The Old Mill Stream" w.m.
12988	wiki:simple:1910_in_music:sent000047	Tell Taylor "Dreams, Just Dreams" Irving Berlin & Ted Snyder "Every Little Movement" w.
12989	wiki:simple:1910_in_music:sent000048	Otto Harbach m.
12990	wiki:simple:1910_in_music:sent000049	Karl Hoschna "Gee But It's Great To Meet A Friend From Your Old Home Town" w.
25965	wiki:simple:199495_austrian_cup:sent000000	The 1994-95 Austrian Cup was Austria's nationwide football cup competition.
25966	wiki:simple:199495_austrian_cup:sent000001	The official name was "ÖFB Memphis Cup" after the competition sponsor Austria-Tabak-Werke.
25967	wiki:simple:199495_austrian_cup:sent000002	FK Austria Wien were the defending champions.<ref></ref>  First round with teams from the second league  <ref>4 red cards for Donau Linz!</ref>  <ref>Replay match-The original game on 9 September 1994 was stopped in minute 98 due to the floodlight failure.</ref>  SK Rapid Wien: Michael Konsel – Peter Schöttel, Zoran Barišić, Michael Hatz, Peter Guggi, Dietmar Kühbauer, Stephan Marasek, Sergey Mandreko (38.
25968	wiki:simple:199495_austrian_cup:sent000003	Sascha Bürringer), Andreas Heraf, Marcus Pürk (90.
25969	wiki:simple:199495_austrian_cup:sent000004	Robert Pecl), Maciej Śliwowski <br>coach: Ernst Dokupil DSV Leoben: Michael Krenn – Manfred Unger, Dejan Stanković, Christian Pracher, Peter Skrivanek, Günter Reichhold, Tihomir Dragoslavic, Amilton de Oliveira, Walter Schachner, Gerhard Karlsberger (69.
25971	wiki:simple:199495_nhl_season:sent000000	The 1994–95 NHL season was the 78th regular season of the National Hockey League.
25972	wiki:simple:199495_nhl_season:sent000001	Twenty-six teams each played 48 games, a shortened season, due to a lockout of the players by the owners.
25973	wiki:simple:199495_nhl_season:sent000002	For the first time since the 1969–70 NHL season, no team averaged more than four goals scored per game.
25974	wiki:simple:199495_nhl_season:sent000003	A total of 60 shutouts happened in the 624 regular-season games.
25975	wiki:simple:199495_nhl_season:sent000004	The New Jersey Devils won the Stanley Cup in a four-game sweep of the Detroit Red Wings.
38950	wiki:simple:201213_north_american_drought:sent000001	Also, La Niña-related heat waves were taking place in the Midwestern and Western United States.
38951	wiki:simple:201213_north_american_drought:sent000002	This was in association with drought conditions in these areas.<ref></ref> The drought was an extension of the 2010-13 Southern United States drought.
38952	wiki:simple:201213_north_american_drought:sent000003	The drought was worse than the 1988–89 North American drought.<ref></ref> The 2012-13 drought covered more areas in the United States and Canada than the 1988-89 drought.
38953	wiki:simple:201213_north_american_drought:sent000004	In July 2012, the drought covered more than 81% in area.
38954	wiki:simple:201213_premier_league:sent000000	The 2012-13 Premier League will be the 21st season of the English Premier League, England's top football league.
38956	wiki:simple:201213_premier_league:sent000002	The defending champions are Manchester City.
38957	wiki:simple:201213_uefa_champions_league:sent000000	The 2012–13 UEFA Champions League was the 58th season of Europe's top club football competition organized by UEFA.
38958	wiki:simple:201213_uefa_champions_league:sent000001	It was the 21st season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League.
38959	wiki:simple:201213_uefa_champions_league:sent000002	The final match took place at Wembley Stadium in London, England, to celebrate the 150th anniversary of England's Football Association.
38960	wiki:simple:201213_uefa_champions_league:sent000003	Bayern Munich won the final by beating Borussia Dortmund 2–1 with a late goal from Arjen Robben.
51936	wiki:simple:2024_municipal_elections_in_the_maule_region:sent000000	The 2024 municipal elections in the Maule Region was held on October 27, 2024, to elect those responsible for the local administration, that is, the communes.
51937	wiki:simple:2024_municipal_elections_in_the_maule_region:sent000001	The region is made up of 30 communes.
51938	wiki:simple:2024_municipal_elections_in_the_maule_region:sent000002	These elections was the first municipal elections held under the automatic registration and mandatory voting system, after the enactment of Law 21524 that reestablished mandatory voting.
51939	wiki:simple:2024_municipal_elections_in_the_maule_region:sent000003	These elections was held in parallel with the elections of governors and regional councilors of the region, positions created by Law 21073 of 2018, and which were elected for the first time in 2021 and 2013, respectively.
51940	wiki:simple:2024_municipal_elections_in_the_maule_region:sent000004	The pre-candidacies announced to date are: (in italics the acting mayors who will be running for re-election) F- PSC: Christian Social Party H- CChM: With You, Chile is Better P- PDG: People's Party R- CD: Democratic Center X- E-A: Ecologists, Animalists.
51942	wiki:simple:2024_nascar_craftsman_truck_series:sent000001	The season started on February 16 with the Fresh From Florida 250 at Daytona International Speedway and ended with the NASCAR Craftsman Truck Series Championship Race on November 8 at Phoenix Raceway.
51943	wiki:simple:2024_nascar_craftsman_truck_series:sent000002	Ben Rhodes of ThorSport Racing was the NASCAR Craftsman Truck Series champion.<ref></ref> Layne Riggs of Front Row Motorsports won NASCAR Rookie of the Year honors.
51944	wiki:simple:2024_ncaa_division_i_mens_basketball_tournament:sent000000	The 2024 NCAA Division I men's basketball tournament was a single-elimination college basketball tournament.
51945	wiki:simple:2024_ncaa_division_i_mens_basketball_tournament:sent000001	There were 68 teams in it.
51946	wiki:simple:2024_ncaa_division_i_mens_basketball_tournament:sent000002	The tournament was for National Collegiate Athletic Association (NCAA) Division I men's college basketball.
64921	wiki:simple:9go:sent000000	9Go! is an Australian free-to-air digital television multichannel.
64922	wiki:simple:9ice:sent000000	Abolore Akande (born January 17, 1980), popularly known as 9ice is a Nigerian hip-hop singer and politician.
64923	wiki:simple:9ice:sent000001	9ice became popular after releasing the album Kongo Aso in 2008.
64924	wiki:simple:9ice:sent000002	That same year, he won the MTV Africa Music Awards for Best Hip Hop Artist and the Music Of Black Origin (MOBO) Award for Best African Act category.<ref name="BBC NEWS 2008"></ref><ref name="Premium Times Nigeria 2012"></ref><ref name="Published 2015"></ref> In 2015, he was named as Special Adviser to Abiola Ajimobi, the governor of Oyo State.<ref name="Vanguard News 2015"></ref>  9ice grew up in Lagos state, Nigeria in shomolu Bariga suburbs.
64925	wiki:simple:9ice:sent000003	9ice had always dreamed of being a musician.<ref>Marriage or no marriage, I am with my children — 9ice - Vanguard News</ref> His parents support him while discovering that he has a singing talent.<ref>Before Stardom With...
64927	wiki:simple:9th_century:sent000001	An unknown event causes the decline of the Maya Classical Era.
64928	wiki:simple:9th_century:sent000002	Beowulf might have been written down in this century.
64929	wiki:simple:9th_century:sent000003	It could also have been in the 8th century.
64930	wiki:simple:9th_century:sent000004	Reign of Charlemagne, and the Carolingian Renaissance in Western Europe.
64931	wiki:simple:9th_century:sent000005	Large-scale Viking attacks on Europe begin.
77906	wiki:simple:acadian_french:sent000006	Acadian French includes words and phrases that reflect the region's maritime and agricultural heritage.
77907	wiki:simple:acadian_french:sent000007	Some terms may differ from standard French.
