CAU-B01	Ice floats on water.	Why ice floats	Ice floats on water because water expands when it freezes, making ice less dense than liquid water.
CAU-B02	Ice floats on water.	Density of ice	Ice floats on water because it is less dense than liquid water.
CAU-B03	Ice floats on water.	The crystal lattice	Ice floats on water because the hydrogen bonds in ice form an open crystal lattice that takes up more space.
CAU-B04	Ice floats on water.	Cold water rises	Liquid water reaches maximum density at 4C, so colder water and ice rise because they are less dense, which is why ice floats on water.
CAU-B05	Ice floats on water.	Expansion on freezing	Ice floats on water because freezing water expands by about nine percent, lowering the density of ice.
CAU-B06	Smoking causes lung cancer.	Why smoking kills	Smoking causes lung cancer because tobacco smoke damages the DNA of lung cells.
CAU-B07	Rain causes floods.	Flood mechanics	Rain causes floods because the ground cannot absorb water faster than it falls during a storm.
CAU-B08	Vaccines prevent disease.	How vaccines work	Vaccines do not prevent disease because of magic; they prevent it because they train the immune system.
CAU-C01	Smoking causes lung cancer.	Doctors agree	Decades of research confirm that smoking causes lung cancer.
CAU-C02	Smoking causes lung cancer.	A retracted claim	Smoking does not cause lung cancer, according to one retracted study.
CAU-C03	Caffeine causes alertness.	Morning coffee	Caffeine causes alertness within twenty minutes of drinking coffee.
CAU-C04	Vaccines cause autism.	Genetic origins	Autism occurs because of genetic factors, not because of vaccines.
CAU-L01	Stress leads to headaches.	Tension headaches	Stress leads to headaches because it tightens the muscles of the neck and scalp.
CAU-L02	Stress leads to headaches.	No link found	The study found that stress does not lead to headaches in most participants.
CAU-L03	High blood pressure leads to strokes.	Stroke risk	High blood pressure leads to strokes by damaging artery walls over many years.
CAU-L04	Exercise leads to better sleep.	Evening workouts	His sleep worsened because he exercised too late at night.
CAU-D01	The delay was due to fog.	Airport delays	The flight was delayed due to heavy fog over the runway.
CAU-D02	The delay was due to fog.	Mechanical fault	The delay was due to a mechanical fault, not fog.
CAU-D03	The cancellation was due to the storm.	Storm grounds flights	The flight was cancelled due to the storm moving across the region.
CAU-D04	The outage was due to a fallen tree.	Power cut	Crews say the outage was due to a fallen tree on the power lines.
CAU-R01	Exercise results in better sleep.	Sleep study	Exercise results in better sleep because it reduces anxiety.
CAU-R02	Practice results in mastery.	Ten thousand hours	Deliberate practice results in mastery of the skill over time.
CAU-R03	Saving results in wealth.	Compound interest	Regular saving results in wealth because of compound interest.
CAU-R04	Overeating results in weight gain.	Diet research	Overeating does not result in weight gain when calories are burned off.
CAU-T01	The reason the sky is blue is Rayleigh scattering.	Blue sky	The reason the sky is blue is Rayleigh scattering of sunlight by air molecules.
CAU-T02	The reason the sky is blue is Rayleigh scattering.	Sky color myth	The claim that the reason the sky is blue is Rayleigh scattering is a myth; it is actually due to ocean reflection.
CAU-T03	The reason ice does not sink in water is its low density.	Why ice floats	The reason ice does not sink in water is that its density is lower than that of liquid water.
CAU-T04	The reason the alarm failed is a dead battery.	Alarm postmortem	The reason the alarm failed is a dead battery in the sensor unit.
CAU-M01	Ice floats on water.	Two-step explanation	Ice floats on water because it is less dense than water, and it is less dense because water expands when it freezes.
CAU-M02	Caffeine causes alertness.	Adenosine	Caffeine causes alertness because it blocks adenosine receptors, and blocking those receptors prevents drowsiness.
CAU-M03	Smoking causes lung cancer.	Two-step mechanism	Smoking causes lung cancer because smoke damages lung DNA, and damaged DNA causes cells to grow out of control.
CAU-M04	Vaccines prevent disease.	Immune memory	Vaccines prevent disease because they train the immune system, and a trained immune system destroys the virus before it spreads.
CAU-H01	High blood pressure causes strokes.	Chain of harm	High blood pressure damages artery walls, damaged arteries form clots, and clots cause strokes.
CAU-H02	Drought causes famine.	Crop failure chain	Drought withers crops, failed crops mean no harvest, and no harvest causes famine.
CAU-H03	Ice floats on water.	Freezing expands	Water expands when it freezes, expanded water becomes less dense ice, and less dense ice floats on water.
CAU-P01	The sprinkler system prevents fires.	Sprinkler save	The fire didn't spread because the sprinkler system activated in time.
CAU-P02	Seatbelts prevent injuries.	Crash survival	He survived the crash without injury because he wore his seatbelt.
CAU-P03	The alarm caused the evacuation.	False alarm	The evacuation didn't happen because the alarm malfunctioned.
CAU-P04	The dam prevents floods.	Dam holds	The town didn't flood because the dam held back the river.
CAU-K01	Coffee causes insomnia.	Survey link	A new study finds coffee consumption is linked to insomnia.
CAU-K02	Smoking causes lung cancer.	Associated risk	Smoking is associated with higher lung cancer risk in the study data.
CAU-K03	Stress causes headaches.	Correlation note	Researchers report headaches are correlated with stress levels.
CAU-K04	Exercise causes weight loss.	Connected	The data show a connection between exercise and weight loss.
CAU-N01	Ice floats on water.	Heavy water	The ice cube sank because it was made of heavy water, which is denser than normal water.
CAU-N02	Ice floats on water.	Sinking ice	Ice sinks in alcohol because ice is denser than ethanol.
CAU-N03	Rain causes floods.	Dam failure	The floods happened because the dam failed, not because of rain.
CAU-N04	Vaccines cause autism.	No link	Large studies find vaccines do not cause autism.
CAU-N05	Ice sinks in water.	Floating ice	Ice floats on water because it is less dense than liquid water.
CAU-X01	Ice floats on water.	Simple fact	Ice floats on water.
CAU-X02	Water boils at 100 degrees Celsius.	Boiling point	Water boils at 100 degrees Celsius at sea level.
CAU-X03	The Earth is flat.	Globe evidence	Photos from space show the Earth is a sphere.
