case	verdict	result
K1 F1_sydney+v1	V|g1|WITHHOLD|ARCHVETO|4|-1	PASS
K2 H1_three_host+v1	V|g1|PASS|NONE|0|0	PASS
K2 H2_four_host+v1	V|g1|PASS|NONE|0|0	PASS
K2 H3_six_host+v1	V|g1|PASS|NONE|0|0	PASS
K2 H4_paraphrase_agree+v1	V|g1|PASS|NONE|0|0	PASS
K2 H5_range_format+v1	V|g1|PASS|NONE|0|0	PASS
K2 H6_numeric+v1	V|g1|PASS|NONE|0|0	PASS
K2 H7_range_agree+v1	V|g1|PASS|NONE|0|0	PASS
K2 H8_wire_truth+v1	V|g1|PASS|NONE|0|0	PASS
K2 H9_filler_diverse+v1	V|g1|PASS|NONE|0|0	PASS
K2 H10_punct_variant+v1	V|g1|PASS|NONE|0|0	PASS
K2 H11_claim_second+v1	V|g1|PASS|NONE|0|0	PASS
K2 H12_numeric2+v1	V|g1|PASS|NONE|0|0	PASS
K3 T4+v2	V|g1|PASS|NONE|0|0	PASS
K4 T4+v1-stale	V|g1|WITHHOLD|ARCHVETO|4|-1	PASS
F_H_WIRE+v1	V|g1|PASS|NONE|0|0	PASS
G1-FORM2	V|g1|WITHHOLD|ARCHVETO|4|-1	PASS
G1-MERCURY	V|g1|PASS|NONE|0|0	PASS
G1-NONCLASS	V|g1|PASS|NONE|0|0	PASS
K7 tamper/F1	V|g1|WITHHOLD|PINFAIL|0|0	PASS
K7 tamper/H8	V|g1|WITHHOLD|PINFAIL|0|0	PASS
K7 tamper/nonclass	V|g1|WITHHOLD|PINFAIL|0|0	PASS
----
total=22 fail=0
