# RT3e joke corpus — natural jokes of forms people actually tell (oracle JOKING).
# Written 2026-09-24T03:08:59-07:00 by the RT3e attacker. Mix of classics people
# retell and novel jokes invented as jokes (not as rule-targets).
# Format: id \t claim \t evidence-context \t oracle
J01	I told my wife she was drawing her eyebrows too high. She looked surprised.	told at a party	JOKING
J02	Why don't scientists trust atoms? Because they make up everything.	dad joke at dinner	JOKING
J03	I'm on a seafood diet. I see food and I eat it.	told a coworker	JOKING
J04	Knock knock. Who's there? Lettuce. Lettuce who? Lettuce in, it's freezing out here.	told my kid	JOKING
J05	My wallet is like an onion. Every time I open it, I cry.	told a friend	JOKING
J06	I used to be a banker, but then I lost interest.	told at a party	JOKING
J07	A horse walks into a bar. The bartender says, hey, why the long face?	told at a bar	JOKING
J08	I asked the librarian if they had any books on paranoia. She whispered, they're right behind you.	told a friend	JOKING
J09	My bed is a magical place where I suddenly remember everything I was supposed to do.	posted online	JOKING
J10	I don't suffer from insanity. I enjoy every minute of it.	told a coworker	JOKING
J11	Why did the scarecrow win an award? Because he was outstanding in his field.	dad joke at dinner	JOKING
J12	I told my boss I needed a raise because three companies are after me. He asked which ones. I said the electric company, the gas company, and the water company.	told a friend	JOKING
J13	My therapist says I have a preoccupation with vengeance. We'll see about that.	told at a party	JOKING
J14	Parallel lines have so much in common. Shame they'll never meet.	posted online	JOKING
J15	I used to play piano by ear, but now I use my hands.	told a friend	JOKING
J16	What do you call a fish with no eyes? A fsh.	told my kid	JOKING
J17	I'm reading a book about anti-gravity. It's impossible to put down.	told a coworker	JOKING
J18	The rotation of the earth really makes my day.	posted online	JOKING
J19	I told my computer I needed a break. Now it won't stop sending me KitKat ads.	invented, told a friend	JOKING
J20	Why did the bicycle fall over? Because it was two-tired.	dad joke at dinner	JOKING
J21	My grandma's Wi-Fi password is so long I have to visit her just to get online.	invented, posted online	JOKING
J22	I wanted to lose ten pounds this year. Only thirteen to go.	told a friend	JOKING
J23	A man walks into a library and asks for a book on committing the perfect murder. The librarian whispers, try the true crime section.	told at a party	JOKING
J24	I asked Siri why I'm still single. She turned on the front camera.	invented, told a friend	JOKING
J25	My house was clean last week. Sorry you missed it.	told a guest	JOKING
J26	I don't need a parachute to skydive. I need a parachute to skydive twice.	told a friend	JOKING
J27	The first rule of Thesaurus Club is you don't talk about, mention, speak of, discuss, or chat about Thesaurus Club.	posted online	JOKING
J28	Why did the math book look so sad? It had too many problems.	dad joke at dinner	JOKING
J29	I have a joke about construction, but I'm still working on it.	told a coworker	JOKING
J30	My dog used to chase people on a bicycle. It got so bad I had to take his bike away.	told a neighbor	JOKING
J31	I told the waiter my soup was cold. He said, that's the gazpacho.	told at dinner	JOKING
J32	What do you call fake spaghetti? An impasta.	told my kid	JOKING
J33	I wanted to tell you a joke about an elevator, but it's an uplifting story.	invented, told a friend	JOKING
J34	The comedian quit his job at the calendar factory. His days were numbered.	told a friend	JOKING
J35	I asked my dad for a joke about paper. It was tearable.	invented, told my dad	JOKING
J36	My phone bill is so high it has its own area code.	told a friend	JOKING
J37	I'm so good at sleeping I can do it with my eyes closed.	posted online	JOKING
J38	I have a fear of speed bumps, but I'm slowly getting over it.	told a coworker	JOKING
J39	The graveyard shift is dead quiet. The workers are just dying to leave.	told a coworker	JOKING
J40	I told my suitcase there would be no vacation this year. Now I'm dealing with emotional baggage.	invented, told a friend	JOKING
